Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.030698208859159252;0.7501735465743713;0.9693017911408407;9.9135857243306909;1.0;-0.17239208687398477;0.13827203381099498;0.1561182019916294;0.32776735337249951
2030;1;0.057144126160671126;0.7343891149724846;1.1770815301607171;12.005762300914375;0.79271763183467781;0.0016403222988792265;0.13764270791111582;0.15644168250209903;0.3267721811495844
2030;2;0.020010930118112679;0.73264880411610489;1.224303602718122;12.27193821545216;0.67225224186975518;0.00094573112707774243;0.13349361057298895;0.15468028365135766;0.32051326417312792
2060;3;0.081916582308547398;0.70322654024429299;1.7609281494401927;17.743661093926509;0.46344406498606749;0.025373456486033064;0.13408500043166355;0.15671592353358751;0.32238634249811143
2060;4;0.05499244097596289;0.70135082408429494;1.8287887855207565;18.183352964982323;0.39162275981559297;0.014882404831406681;0.13313877126169074;0.15286909848921024;0.31764497708470368
2060;5;0.03741951305635504;0.70209854856899101;1.8603391310556578;18.025152278898396;0.38987575422179876;0.0097544110811975671;0.12645691751361521;0.15165019408375541;0.30865358644763502
2060;6;0.016677283683929445;0.69985168133089315;1.9103809398234375;18.55135533879265;0.32701161204673623;0.0062469039719070807;0.12751300145667449;0.15085491470074089;0.30941960249749961
2100;7;0.099662102551743278;0.66378002552939286;2.9863852245301743;29.840306736963278;0.22683866956526519;0.11803680988462517;0.13275861270687792;0.15403502132498889;0.31939461334394709
2100;8;0.089381746980199239;0.66170021804280343;3.1122955022676511;30.707925290246585;0.18614977864297572;0.077317080562888663;0.13445111970301754;0.14836082376207929;0.31494159795901167
2100;9;0.09597672275608661;0.66234447434599841;3.0815098960299854;30.438996130619913;0.19162505130005864;0.067847311462720938;0.13368004225041888;0.14961674712639633;0.31534240056686291
2100;10;0.034155519229507346;0.66052579875121331;3.3530156699114873;31.260972778821294;0.15233294284674864;0.043855231343892243;0.12426342472194214;0.14183251608819025;0.29572881520735711
2100;11;0.050662356420880343;0.66394979022412592;3.210824570805523;29.842657535981846;0.18946581093927597;0.037678443200706013;0.11934909522328246;0.14635922705910512;0.29471219111230379
2100;12;0.036239260224978254;0.66134410765616025;3.3299885447525459;30.918734674977827;0.15217188131757198;0.024548589471162785;0.12236648249459742;0.14260752529612877;0.29437915335544346
2100;13;0.038327510910500878;0.66183949603734549;3.3190822133573108;30.714439564551647;0.1568632962395711;0.018324801755964515;0.12118017064725772;0.14286421061760496;0.2932858198729465
2100;14;0.0072573822251597213;0.65938177350097293;3.4704431206707458;31.771455599438081;0.12640650050521748;0.012106395796429581;0.117858830952156;0.14270949998954244;0.28980075052862092
2200;15;0.023145215702804728;0.57729617228129804;14.007227301003594;105.77548356221401;0.026470858563359238;1.1448238642069342;0.098829156492779346;0.11072937284933641;0.2339855996103935
2200;16;0.015395502441372159;0.57558036292666459;14.804625076080843;108.74351483566795;0.021509955913680757;0.7090179836760413;0.098238386734970679;0.10528254749243739;0.22689551871660857
2200;17;0.018692971414015484;0.57593432665585809;14.599197251455204;108.11529309354884;0.021224177837373875;0.87356196999124336;0.098815280967116018;0.10648125858699192;0.22896695481793114
2200;18;0.012898763241961349;0.5747762888184752;15.140666009268362;110.15386376177614;0.01850288074681319;0.50970736142446071;0.09801214185017007;0.1034518636011898;0.22449851739478638
2200;19;0.020059075938939613;0.57628859271196209;14.387015367555312;107.48831745487793;0.022107615526533814;1.1002893585702722;0.099423083160205664;0.1077863989131809;0.23122300155959435
2200;20;0.01358357637774437;0.57499524141366343;15.01415332001503;109.76011303470602;0.018875991224465066;0.68495712874572234;0.098223138453756187;0.10426253131154922;0.22570154165236125
2200;21;0.043216842897330486;0.57731616618564607;13.881075599218049;105.7138882171098;0.020270360264587266;0.35193873994625591;0.10025943929865325;0.11139083669931732;0.23619661418100091
2200;22;0.032771447968795116;0.57573280125239235;14.602773427647426;108.44662376613923;0.016824101233387612;0.2262576896661983;0.09906741187467788;0.10697186731162736;0.2296842316045182
2200;23;0.055869022740416115;0.57988792263595168;12.728138740199642;101.42107885457288;0.027323066064264816;0.38953657735234515;0.10313845734678125;0.11894841989069312;0.24837729213756199
2200;24;0.044212452117824146;0.57752526629689904;13.74955024485339;105.34944517014992;0.020523261561299196;0.28449903516438724;0.10075206718158193;0.11225590850749925;0.2377942013832551
2200;25;0.055901090541310927;0.57821243052198112;13.513476719861893;104.20657615442451;0.020901123462682948;0.24017391062916005;0.10073314882407534;0.11385793636659967;0.23949414030470226
2200;26;0.042467607941257486;0.57635278319248484;14.338113268082298;107.37263857318739;0.016834286141093599;0.15451239439645548;0.099185838113822603;0.10877430143480793;0.23182188672796825
2200;27;0.06553685878324586;0.57880564180981864;13.296560945224142;103.22700318606168;0.021971669017051162;0.1863295387890318;0.1009087998530952;0.11532609583697057;0.24129368766979439
2200;28;0.04765394583056836;0.57678223136417384;14.209443682549381;106.64764005566897;0.017356971530868213;0.12016813696416051;0.098683513404080325;0.10985504706951864;0.23239942742474912
2200;29;0.034380275194707828;0.57832145751680586;14.324271245716394;104.22319745451524;0.017342884998370243;0.046601398890011581;0.090466185160283125;0.11141735807434593;0.2245198277148035
2200;30;0.00043266793946949511;0.57544159613480417;15.357875155099746;109.0958022066557;0.013281811016360114;0.019756657220426632;0.083958840493126075;0.11238911541156538;0.21861629735039209
2300;31;0.021834147880544885;0.51720353334834324;64.04942483077059;289.04294283329995;0.0031274707765596562;2.6322116746399615;0.0;0.11823369772810548;0.13205673839272961
2300;32;0.010858739440788356;0.51589465552564284;66.749259276545345;295.87012874357134;0.0026706618417509324;1.522427514387914;0.0;0.11605430193701369;0.12945006443396312
2300;33;0.014280495238088216;0.51614665823626682;66.135679932913504;294.53092601284084;0.0025539576493754262;1.8641876403762581;0.0;0.11662105704680742;0.13012759194939452
2300;34;0.0078865245203604308;0.51540713708475416;67.959269582587567;298.48080205190632;0.0023147994884346987;0.97581477597543653;0.0;0.11495478428013783;0.12813633701999874
2300;35;0.015374608652848112;0.51624671424671353;65.769994869160172;293.98491295059125;0.0025029779602789843;2.0923471922216663;0.0;0.11706801631401195;0.13066207950652375
2300;36;0.0084524757926431292;0.51546086998477769;67.765890895770113;298.18425984046144;0.0022497501551469825;1.1161362167229072;0.0;0.11517618129387575;0.12840079332546972
2300;37;0.011328187426306358;0.51564517004050359;67.28920508789129;297.19312019435455;0.0021936087422923158;1.4521796022805233;0.0;0.11562248031006411;0.12893400558012341
2300;38;0.005413746104161855;0.51504658522818692;68.725661121491882;300.40967654233111;0.0020317658439408617;0.61992091542037997;0.0;0.11438729220830596;0.12745864423548195
2300;39;0.015936653535565778;0.51636789764913593;65.416828256466573;293.33649209058842;0.0025878404862196319;2.3661302359471392;0.0;0.11745419558051333;0.13112400476968425
2300;40;0.0088532777446021713;0.5155279697315549;67.568464219271121;297.81996720913395;0.0023059630498219737;1.2850565990248697;0.0;0.1153788122364095;0.12864286635927605
2300;41;0.01145987483990491;0.51574571598423291;67.042509653754834;296.65546559204381;0.0022321435505497783;1.7155865139812931;0.0;0.11584595647355823;0.12920105859042183
2300;42;0.005458654450762707;0.51509388406554191;68.619054004156197;300.15514597929831;0.0020511922463636624;0.75917410314474409;0.0;0.11447091704135287;0.12755849267227409
2300;43;0.016010828605027467;0.51649574594435088;64.412793446127139;292.57028345847914;0.0023464101476427506;3.1007404242117786;0.0;0.11902984995875129;0.13300985985553024
2300;44;0.0077685380390285115;0.51546064556672033;67.295758228436114;298.12480151648117;0.0020156099674010341;1.6983502973857867;0.0;0.11598664133578485;0.12936919570512051
2300;45;0.011371972916818334;0.51574531287217373;66.344111584436916;296.56674637889182;0.0019673313801611032;2.3057022951945783;0.0;0.11707439884964972;0.13066971302061503
2300;46;0.0043932321138898485;0.51499027470959169;68.552346965118517;300.67466219575209;0.0017593777672581974;0.97983548133129261;0.0;0.11479208499722508;0.12794201825346713
2300;47;0.022782075668605854;0.51756214380450571;61.359728161819383;286.93685267778415;0.0030838856563447539;3.645606584206007;0.0;0.12267799773384003;0.1373832042416418
2300;48;0.012904564003193444;0.51620995386290569;65.179738774551552;294.09031960172689;0.0025074437788450399;2.2593784493295743;0.0;0.11821139295287972;0.13203004276222544
2300;49;0.016158853833341834;0.51653121480584374;64.217668615791965;292.36883560242887;0.002361706758012672;3.0460311165143139;0.0;0.11931963212636092;0.13335689145730095
2300;50;0.0078170375342558607;0.51547757811053074;67.190218061919154;298.0255893483511;0.0020198715487195168;1.6874460849905404;0.0;0.11613547198070803;0.12954708435503684
2300;51;0.017204091531173797;0.51678261201120612;63.33002962747085;291.00990733083205;0.0024120142726660244;3.3548235856329711;0.0;0.1204707723271027;0.13473605937103483
2300;52;0.0083594494605646625;0.51561183000492272;66.688364441484524;297.28317159753635;0.0020196948086742988;1.9439809444790512;0.0;0.11673950457698951;0.13026922055292314
2300;53;0.012524467721724013;0.515951074945037;65.498425493359051;295.42416519387939;0.0019708577939214701;2.7083524103204581;0.0;0.11816823144127159;0.13197838564401149
2300;54;0.0048374303142404264;0.51507560326261359;68.176795863827948;300.19160913457489;0.0017219433065762926;1.2728421254749378;0.0;0.1152555176376563;0.12849556877222962
2300;55;0.018384162950557802;0.51696956486009693;62.577553562977471;289.99012913862992;0.0025364673646355745;3.6345982253571663;0.0;0.12152995917703288;0.13600591208725291
2300;56;0.0087677580024544989;0.5157137785731245;66.261898974863982;296.7144638551149;0.0020881895761472808;2.1755551945474849;0.0;0.11728556342481805;0.13092228306345333
2300;57;0.012924720486788912;0.51617087570292608;64.707586713671262;294.22226805694345;0.0020533486358637965;3.3022567131197889;0.0;0.11916128815107203;0.13316725735226576
2300;58;0.0049894338584843892;0.51517492538872156;67.791568805728517;299.63675306775821;0.0017552955486563398;1.6788043734877078;0.0;0.11571252340468437;0.12904160213514773
2300;59;0.057869036424440148;0.51869332146897285;58.431579342552645;281.11187003284715;0.0024273946933471356;0.57265857173902646;0.0;0.12634237420496328;0.14178560733031981
2300;60;0.03256105624008699;0.51655440721612245;64.07841764971603;292.23559049645542;0.001785436082401202;0.30866576827008885;0.0;0.11953199010316602;0.13361124211703349
2300;61;0.0012267954044838467;0.51857975051811023;65.798134748311369;282.63127938976226;0.0018262230822002705;0.19840545055416214;0.0;0.11233342077025198;0.12500799667676138
2300;62;2.5887442733759923e-08;0.51464427200328555;69.573132081684477;302.5759177651957;0.0012861523588662167;-0.010110078584091298;0.0;0.11378741429419879;0.12674254394932002
